denominationUniteLegale,siren,trancheEffectifsUniteLegale
VERT LIMOUSIN,308757269,21
GERFRUITS,308758515,21
KOMET FRANCE,308758531,22
ANALYSIS,308820927,22
DELOUIS FILS,308875749,21
GAMM VERT SYNERGIES OUEST,308877943,32
AKKA INGENIERIE PRODUIT,308884998,42
SOGECA,308895770,41
SOCIETE CONFOLENTAISE DE METALLURGIE,308907971,21
TRANSTELE - CANAL FRANCE INTERNATIONAL,308909142,21
EXPLOITATION PRODUITS ARTICLES NATURELS,308909407,21
ACM-BIO UNILABS,308909647,21
IFM ELECTRONIC,308950211,22
GIP AVIATION,308951334,22
EUROFEU SA,308961473,22
J J A,308972181,31
SA AURAY PNEUMATIQUES,308972553,22
SECURITAS TRANSPORT AVIATION SECURITY SAS,308973239,42
ANETT SAVOIE,308983428,21
G.I.E. INFORMATIQUE DU GROUPE D'AUCY,308984459,21
TRANSPORTS JACQUES BARRE,309000982,21
ETRAD,309001352,21
MEDIAWAN PROD,309001477,21
AXE,309001485,21
KEOS CALAIS BY AUTOSPHERE,309003903,21
AUTOSPRINTER MARSEILLE,309004331,21
ETABLISSEMENTS A. OFFREDY,309020089,21
FG SMART DESIGN,309020816,21
COVALENS,309021277,32
CONSTRUCTION DORSO,309022341,21
HONEYWELL PROTECTIVE CLOTHING,309047454,21
SOCIETE D'EMBOUTISSAGE PRECIS,309054054,21
L'OREAL PRODUITS DE LUXE INTERNATIONAL,309064947,42
APSIDE,309065084,42
FRANCILIENNE DE TRANSPORTS ET SERVICES,309065209,21
SOCIETE ARMORICAINE DE CANALISATIONS,309065910,31
SODIREV,309066876,32
LOUVRE HOTELS GROUP,309071942,32
ZF SERVICES FRANCE,309072577,22
TRANSPORTS COMMUNS AGGLOMERATION ROUEN,309073625,42
LE BATIMANS,309097038,22
TRACTEBEL ENGINEERING,309103877,41
THERMIC CHARPENTIER,309105351,21
CORNUT,309105542,21
MATERIAUX DUFRANCAIS,309114114,21
TUNISIAN FOREIGN BANK,309122125,21
EIFFAGE ENERGIE SYSTEMES - TRANSPORT & DISTRIBUTION,309122810,41
POMPES FUNEBRES ET MARBRERIE BERTHELOT,309124477,22
SOCIETE DE DISTRIBUTION DES ALLEMANDES,309124519,22
COMPAGNIE FRANCAISE DU PARQUET,309173532,21
NORD-OUEST FILMS,309173805,31
SCUTUM FRANCE,309174589,32
VAUDAUX JEAN,309192144,22
ETABLISSEMENTS TAM,309192821,21
GVA BYMYCAR ORLEANS SUD,309203750,21
SAS BERNARD REYMOND,309205946,21
SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'ILE DE FRANCE,309214641,32
ENTREPRISE DAUPHINOISE D ENTRETIEN ET DE NETTOYAGE,309231454,21
SOCIETE ASTRUC,309247047,21
DEVAUD,309257178,21
S & P FRANCE SYSTEMES DE VENTILATION,309257418,21
ATLANTIC SERVICE,309257624,31
SOCIETE D'EXPLOITATION DES ETABLISSEMENTS BERTHIER 21 S.A,309257699,21
ETABLISSEMENTS COZIGOU,309258564,21
SOCIETE DES ELEVEURS DE MOUTONS POITOU-LIMOUSIN SODEM,309267060,22
ARNAUDEAU CM,309275717,21
DUBOIS - NETTOYAGE LEDONIEN,309284867,21
GIP CONNECT,309286128,22
DICKER,309304228,21
REXEL FRANCE,309304616,52
ETABLISSEMENTS BREVET,309307460,21
FRANCE BOISSONS BRETAGNE NORMANDIE,309318483,32
SOCIETE DE REMORQUAGE MARITIME DE ROUEN,309320877,21
PRODEMO,309331247,21
TRANSPORTS MALAURIE SARL,309332864,21
ROYE DISTRIBUTION,309345643,21
CABINET THIERRY,309358349,22
STP1P,309358372,21
GROUPE LACAN,309372720,21
ATELIERS DE CONSTRUCTIONS DU PETIT PARC,309382901,32
EUROVIANDE SERVICE,309383065,32
MENUISERIE HUNSINGER SA,309383438,21
SOCIETE CAENNAISE DE DISTRIBUTION,309396240,21
SA INTER TRANSPORTS DES MARAIS,309407724,22
BERTO GOUPILLE LANDRIAU,309409969,22
SOCIETE PLEDIS,309410025,32
SOCIETE DE TRANSPORTS AMBULANCIERS OURSON BLEU,309411015,21
KARIN MODELS,309421576,21
ATELIERS CHARVET,309432474,21
SA DE MAGASINAGE ADMINISTRATION ET GROS,309433571,22
WMF FRANCE CONSUMER GOODS,309434017,21
DIFFUSION AUTOMOBILE DES GRANDES ALPES,309444701,21
SA DESPIERRES,309444941,21
FOREZIENNE - M.F.L.S.,309445237,32
NV EQUIPMENT,309446383,22
BONFIGLIOLI TRANSMISSIONS SA,309458305,21
ORIENTAL KITCHEN,309467397,21
PAROT VI,309467884,32
GUEUDET VALLEE DE L'OISE,309469260,22
FONCIA LCA,309481224,22
WIRQUIN PLASTIQUES,309494953,31
MENDOISE DE SUPERMARCHES SAS,309505477,31
RAVON AUTOMOBILE,309505592,21
FRANCE-SOLS,309505782,21
SOCIETE PLEIN SOLEIL,309516680,21
FARELLA,309516730,22
SCM IMAGERIE CANCEROLOGIE MEDICALES,309516920,22
COMPTOIR GUERCHAIS DE MATERIAUX,309516995,21
LGL FRANCE,309528115,41
QUEGUINER MATERIAUX,309540433,41
CELTYS,309540664,31
SIGNIA,309541969,22
THOUMIEUX,309542033,21
QUEGUINER TRANSPORTS,309543288,22
LOCATION TRANSPORTS IZARET AQUITAINE,309543460,21
GROUPE MTM,309543486,22
SPONTEX,309552040,31
LES CARS DE BORDEAUX,309552578,22
EARL SAINT PETRUS,309567782,21
THALASS ARMOR,309575157,22
SA VOYAGES MULLIE,309585594,21
PLOUDAL DISTRIBUTION,309598019,22
CENTRA APPROVI CHARENT POITOU,309599165,32
"SOCIETE FRANCAISE DE REALISATION, D'ETUDES ET DE CONSEIL",309600088,22
NL TRANSPORT,309600831,41
DNV FRANCE,309610061,21
SOCIETE DE DISTRIBUTION ALIMENTAIRE,309632958,22
BOVIS TRANSPORTS,309634582,21
KNAUF SUD EST,309634913,21
T'NB SA FRANCE,309635043,21
SOCIETE DROMOISE DE TRAVAUX,309645034,21
SAS SOCIETE RIAUX,309645273,22
GXO LOGISTICS EUROPE,309645539,21
BLEDIS,309645950,21
EIFFAGE ENERGIE SYSTEMES - QUERCY ROUERGUE GEVAUDAN,309646453,22
SALAISONS DE BOURBON,309646719,22
BIOLIB UNILABS,309661064,21
TRANSPORTS LAFFOND,309661429,21
MATERIAUX NORD BLAYAIS,309662328,21
LUSTRAL,309674414,42
GINGER,309706992,32
GALLIANCE DISTRIBUTION,309707214,31
APRIL INTERNATIONAL CARE FRANCE,309707727,22
ELECTRICITE CHAUFFAGE CLIMATISATION SANITAIRE,309707867,32
CHARPENTIER P M,309708279,21
SAINTHIMAT,309716603,21
LIBRE SERVICE DU PHARE,309718682,21
TRELLEBORG SEALING SOLUTIONS FRANCE,309730554,21
PAU LOISIRS SA,309732980,21
GROUPE ROYER,309742492,22
ALPHACAN,309745891,22
LES NOUVELLES EDITIONS DE L'UNIVERSITE,309769966,22
GROUPE BRUNO COURTOIS AUTOMOBILES,309770279,21
SORIN CRM SAS,309786481,32
CIE THERMES BOURBONNE LES BAINS,309801058,21
SERVICE NETTOYAGE ET MANUTENTION,309812840,41
SOCIETE DISTRIBUTION ROYANNAISE SA,309812881,32
INTERSYSTEMS SAS,309813723,21
LBMB NOTAIRES,309814291,21
MEUNIER SA,309825156,22
BERGMANN ET FILS,309834331,21
EFFI SERVICE,309835478,41
IN EXTENSO SECAG,309847119,22
JIGE INTERNATIONAL,309857217,22
ISEA FRANCE,309858231,21
WORLD COURIER FRANCE,309858306,21
HOLDING SIMON,309867851,21
OPTICIENS MAURICE FRERES,309868701,21
VERMELDIS,309868818,22
SOCIETE D'EXPLOITATION DE L'ENTREPRISE BAYOL,309868917,21
OCV CHAMBERY FRANCE,309880813,31
OUEST PATHOLOGIE,309891109,21
SELECT SERVICE PARTNER,309892230,32
NIVANA,309904225,21
BETON VICAT,309918464,32
EUROVIA BETON,309930816,21
CENTRE ELECTRONIQUE DE L'AUDIO-VISUEL & DES TRANSMISSIONS,309950855,32
RATIER-FIGEAC,309954006,42
ETABLISSEMENTS MICHEL DUPUY,309966935,21
SOLYEM,309967966,21
TRANSPORTS CHAMPAGNAT,309979144,22
ETABLISSEMENTS PIERRE REVIL,309979813,22
CERNER ENVIVA FRANCE SAS,309989663,22
POLYCLINIQUE COTE BASQUE SUD,309990471,31
BRANGEON SERVICES,309991016,22
SCOPELEC AQUITAINE,310004809,31
BAYERN LILLE BY AUTOSPHERE,310015920,21
BIO 17,310016969,22
BARTHELEMY MANUTENTION,310026489,22
TRANSPORTS VALLEE,310026711,32
BERNARD ROYAL DAUPHINE,310046610,32
GROUPE M. SERVICE,310058631,22
GARAGE DE L AVENIR,310069224,21
SATO FRANCE,310070412,21
ENTREPOTS FRIGORIFIQUE DE LA BASSE-SEINE,310071600,21
TISSAGE MOULINE THILLOT,310072020,21
FRANCEMETAL,310082938,21
NANTES NORD DISTRIBUTION,310083589,32
LOCABOAT PLAISANCE,310096664,21
GVA EURAUDIT,310132832,21
SOLUTIONS TRANSPORTS INDUSTRIELS ET LOGIQUE-INTERNATIONAL,310133459,31
ALKERN NORD,310160270,31
SUPERMARCHE TYROSSAIS,310162417,32
FLEURETTE,310162839,22
LABROSSE EQUIPEMENT,310172622,22
TRANSDEV ALPES MARITIMES,310172861,22
DOMAINE DES ORMES SA,310173240,22
SOCIETE ANONYME COOPERATIVE GIPHAR,310173968,32
CHIMIREC,310188420,32
NAELS AMBULANCES DUNKERQUOISES,310188578,21
ETABLISSEMENTS J. C. BOUY,310188834,32
SOC NOUVELLE D'AFFINAGE DES METAUX,310199146,22
FIDUCIAIRE DE LA BRIE,310208962,21
SARL QRT GRAPHIQUE,310208996,21
CONSTRUCTIONS MECANIQUES D'ABORDS ET DE GOLFS,310214044,21
ETABLISSEMENTS LE STER,310227533,22
HOPITAL PRIVE DE L'OUEST PARISIEN,310227673,32
HYDROKARST,310232160,22
HOTEL RESTAURANT LE ROOF,310232467,21
SODEXO JUSTICE SERVICES,310239702,41
SECURITE COMMUNICATIONS,310245931,21
MILLET PAYSAGE-ENVIRONNEMENT,310257845,21
DEHON SERVICE,310259205,21
TRANSPORTS COTRANS,310268966,21
SPORTS ET LOISIRS,310269378,22
HELBUL,310270467,21
SOCIETE D'ARMEMENT ET DE TRANSPORT,310288162,22
AIA MANAGEMENT DE PROJETS,310288220,21
MELCHIORRE S.A.S.,310289715,21
SAMI TP,310308051,21
SOCIETE ETUDES TRANSFORMATION STOCKAGE,310310958,21
SARETEC FRANCE,310327895,42
EHPAD DU BEQUET,310337464,21
CMS VACANCES,310346564,21
METTLER TOLEDO SAS,310370754,41
TIDF,310370887,22
TRANSPORTS ANTOINE LORRAINE,310381116,21
ANTHIME MOULEY FRANCE SAS,310381173,21
LDC BOURGOGNE,310391503,41
CEDRAT TECHNOLOGIES,310416334,21
JOSSET & AVI-LOIRE,310427562,21
L'ARIEGEOISE DE TELECOMMUNICATION SARL,310436936,22
DISTRIB ALU COULE ELABORE DIACE,310439161,21
FRANCE BOISSONS RHONE ALPES,310455043,41
CLINIQUE KER YONNEC,310457569,22
CAILLOR LA CAILLE DES LANDES,310472956,22
BOTANIC-SERRES DU SALEVE,310473178,31
DISTRIBUTION DU POINT DU JOUR,310497482,32
AUTOMOBILES FRANC-COMTOISES JURA,310505391,21
BOUYGUES BATIMENT CENTRE SUD-OUEST,310505748,32
SOCIETE VENDEENNE DE CHAUDRONNERIE,310519640,21
DUBREUIL AUTOMOBILES,310520275,21
SA VAL'PRIM,310530118,21
ETABLISSEMENTS R. DUMONT ET COMPAGNIE,310530225,31
FINI METAUX,310530456,21
MARAIS NANTES,310530498,22
SOCIETE DES BISCOTTES FAISSOLE,310531538,21
ENTREPRISE HORY-CHAUVELIN,310540703,21
SOPRO,310558770,21
DIMOS,310559638,21
LEGUAY EMBALLAGES,310578430,21
SCHNEIDER TRANSPORTS,310590112,21
RENT A CAR,310591649,41
NOUVELLE SOCIETE HOTELIERE VICHYSSOISE,310592589,21
COUGNAUD CONSTRUCTION,310601687,42
LABORATOIRE DUCASTEL - L D P E,310602313,22
AUDIKA GROUPE,310612387,22
BOURBON AUTOMOTIVE PLASTICS SAINT MARCELLIN - BOURBON AP SAINT MARCELLIN,310623269,22
CONFISERIE DU TECH SA,310623459,21
EUROVIA STR,310624523,22
ACTEA,310634696,22
LUDERIX INTERNATIONAL,310635347,42
GXO LOGISTICS FROID FRANCE,310643515,31
MOVIANTO FRANCE,310644612,31
KARDEX FRANCE,310644877,21
EIFFAGE ENERGIE SYSTEMES - BARTH,310655626,21
CLINIQUE DU PARC,310690649,21
BOULANGERIE PATISSERIE REY ET FILS,310699723,21
POUEY INTERNATIONAL SA,310699970,22
COFILMO,310710496,22
ENTREPRISE SPIESS,310719406,21
SA T P L M,310727110,32
ARTERRIS DISTRIBUTION,310727144,22
FRANCOIS DOUCET CONFISEUR,310727151,21
BA SYSTEMES,310727961,22
LYON DIS,310738554,22
BANSARD INTERNATIONAL,310746425,22
SEIMAR,310775903,22
CASSOUS,310776299,21
FOSELEV MEDITERRANEE,310776844,21
GEORGES LOUBERY SAS,310791470,21
ARCELORMITTAL WIRE FRANCE,310792023,32
SOCIETE SAGERE,310801162,22
ENTREPRISE CLEMENT ET FILS,310802608,21
AMBULANCE BAVAY DOUALLE,310810155,22
FIABILA,310810486,22
TOLERIE INDUSTRIELLE DE BREZOLLES,310810601,22
ERAM INTERSERVICES,310817457,31
SOCIETE DE NEGOCE DE NORMANDIE,310818000,41
"SAINT-GOBAIN EUROPE DU SUD, MOYEN-ORIENT, AFRIQUE",310818398,21
GSF TREVISE,310827563,42
SOC REUNION PRODUITS PETROLIERS,310837190,21
LE PARADIS LATIN SA,310838180,22
SA DES ENTREPRENEURS DE TRANSPORT EN COMMUN DE LA REUNION,310850094,31
SBTPC SOGEA REUNION,310850342,41
CLINIQUE JEANNE D'ARC,310862024,31
SOCIETE ANONYME ADRIEN BELLIER,310862131,21
COMPAGNIE VINICOLE DE L'OCEAN INDIEN,310862248,21
CEGELEC LA REUNION,310862644,22
HOLCIM (REUNION),310863014,21
PRUDENCE CREOLE,310863139,22
SOCIETE POUR L'EXPLOITATION ET LE DEVELOPPEMENT DES EAUX DE SOURCE,310863147,21
SOCIETE D'EQUIPEMENT DU DEPARTEMENT DE LA REUNION,310863378,21
SOC AMENAGE PERIMET HYDROAGR ILE REUNION,310863576,22
SOCIETE IMMOBILIERE DEPARTEMENT REUNION,310863592,32
SOCIETE ELECTRO TECHNIQUE DE BOURBON,310863766,21
SOC CONCASSAGE PREFABRICATION REUNION,310863840,31
BRASSERIES DE BOURBON,310864012,31
COMPAGNIE LAITIERE DES MASCAREIGNES,310864038,21
TEREOS OCEAN INDIEN,310864269,21
SOCIETE ARMEMENT DES MASCAREIGNES,310865951,21
NOUVELLE IMPRIMERIE DYONISIENNE,310879358,21
GROUPE BALBINE,310879374,21
DINDAR AUTOS,310879382,21
SOC REUNIONNAISE INDUSTRIE ET COMMERCE,310879424,21
SOC TOURIST HOTEL CASINO REUNION,310879689,21
BOLLORE LOGISTICS REUNION,310879937,22
LOCAM - LOCATION AUTOMOBILES ET MATERIEL,310880315,32
TIP TRAILER SERVICES FRANCE SAS,310880604,31
SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DE LA REUNION,310895172,32
GUILLOUX MATERIAUX,310896378,22
EVOLUPRINT,310914478,21
SODEXO EN FRANCE,310923008,41
AVEYRON EXPRESS,310923495,21
BLANCHISSERIE BLESOISE,310939947,31
LG LIMOGES AUTOMOBILES,310940754,22
FROMAGERIE DE NEUFCHATEAU,310941125,22
MARTINIQUE VIANDES,310941232,22
CALIVAL,310941554,22
CLINIQUE SAINT-PAUL,310941570,32
ALBEA COSMETICS FRANCE,310949623,32
HOPITAL PRIVE SEVIGNE,310955323,32
ETABLISSEMENTS CAZENAVE,310955372,21
BLD,310967146,22
SCHILLER MEDICAL,310967294,21
STRYKER SPINE,310967302,32
CHAINE THERMALE DU SOLEIL,310968540,41
ASSIETTE CHAMPENOISE,310974936,21
CLINIQUE PSYCHIATRIQUE DU PARC,310975024,21
SECURITE-PROTECTION ET INTERVENTION,310975768,22
CIBLEX FRANCE,310996178,41
LE NETTOYAGE INTEGRAL RENOVE,310996939,31
PASINI,310998109,21
SUD OUEST HABITAT,310999016,21
MERCURA,310999891,21
BRUKER FRANCE,311020911,32
SOCIETE DE DISTRIBUTION GAZ ET EAUX,311022925,21
G CARTIER TECHNOLOGIES,311042030,22
HERTA,311043194,42
HALLES MANDAR,311051122,21
CLINIQUE BLOMET,311058788,21
INTERIOR'S,311058838,31
BOSE,311068266,22
COMAT,311079701,21
NACARAT,311087175,31
LES VERGERS DE LA COCHETIERE,311087688,21
BEILLARD TUBES CARTON,311087712,21
SOCIETE-MISSENARD QUINT B,311098487,41
SONOCO IPD FRANCE,311099485,21
ADLER FRANCE,311109441,21
ASSISTANCE SERVICES,311110415,32
PRODUCTION DES ELEVAGES BOURGON,311117444,21
KEOS CARVIN BY AUTOSPHERE,311126882,21
YVES MADELINE,311127195,21
CITADINES,311127278,41
GVA BYMYCAR VAUCLUSE,311128300,21
LABORATOIRE DE BIOLOGIE MEDICALE BIOPOLE,311128730,21
SOCIETE DE TRANSPORTS INDUSTRIELS DE MONTELIMAR,311129092,32
SOCIETE INDUSTRIELLE DE MOULES ET MOULAGES PLASTIQUES IMEPSA,311137590,21
SODIGEMA,311146435,21
KEOS LIEVIN BY AUTOSPHERE,311157762,21
ECODIME SAS,311160246,21
SODEXO SPORTS ET LOISIRS,311160592,41
LA PETITE PAIX,311167530,21
SADIS,311189401,21
BACHELET-BONNEFOND,311210108,21
LMWR,311221105,21
SOCIETE DES TRANSPORTS VIAL,311221360,21
SA RHONE ALPES TRANSPORTS,311232730,22
POLYCLINIQUE DU TREGOR,311242473,22
CONFISERIE ROHAN,311243067,21
NEXTINTERACTIVE,311243794,22
GRAS SAVOYE,311248637,51
LABORATOIRE DE CONTACTOLOGIE APPLIQUEE,311274401,21
ARGEL SUD EST,311274773,32
GEMODIAL,311274914,21
BREST'AIM,311294904,32
KELLY SERVICES,311305650,32
B&M FRANCE SAS,311315329,22
LES MOUSSEAUX,311338305,21
AXA ASSISTANCE FRANCE,311338339,41
SOC DE RESTAURATION JB,311349419,21
LOUIS DUNOYER ET FILS,311349898,21
CREA STEP,311360432,21
SODELE,311362164,21
SOCIETE NOUVELLE TRANSPORTS INDUSTRIELS,311414072,22
OUVRARD TOURAINE,311416119,21
LAMIDIS,311440051,22
SOCIETE FRANCAISE D ISOLATION,311460596,31
BARBIER SA,311461065,22
INVIVOGEN,311471734,21
ETABLISSEMENTS MAIRET,311473342,21
TF1 PUBLICITE,311473383,32
AUTAJON ETIQUETTE MEDITERRANEE,311473649,21
MOULINS RIOUX,311491609,21
GROUPE BARBA,311492250,21
SOC ANTIL INVESTIS POINTE BOUT,311510002,21
MAXICOFFEE SOLUTIONS ARA,311531776,31
CLINIQUE CHIRURGICALE PORTE OCEANE,311533574,22
BETON-MATERIAUX ET CONSTRUCTIONS,311547954,32
A. GIACOMINI SA,311551824,21
BOEING DISTRIBUTION SERVICES SAS,311551980,21
TEINTURES ET IMPRESSIONS DE LYON,311567119,21
KEOLIS TOURS,311567416,41
ORANGE SERVICE AUTOMOBILES,311570378,21
CETIH ROANNE,311584718,22
LOCARCHIVES,311593834,32
ROSELLO ET FILS,311595185,21
LABOUEST,311595391,22
SNADEC ENVIRONNEMENT SOCIETE NATIONALE DE DECONTAMINATION,311595912,32
CANTAL EXPRESS,311596274,21
BRIENT,311623987,32
LES COMPTOIRS RICHARD,311624514,21
RAGUES,311640007,21
AMORA MAILLE SOCIETE INDUSTRIELLE,311641229,31
SYMA,311642003,21
ANJOU BEAULIEU,311650915,22
GMD,311651491,21
STE D EXPLOITATION RESTO ROUTE CONGRES ET LOISIRS,311665194,21
MF PRODUCTIONS,311666192,22
STEF TRANSPORT LANGRES,311676431,22
ENTREPRISE MAURO,311676910,21
XPO TRANSPORT SOLUTIONS OUEST FRANCE,311686703,32
ARTIKA ANJOU,311686927,21
ORPI FRANCE,311701080,21
SOCIETE ALPES TRANSPORTS,311720023,21
SOCIETE D'ALIMENTATION MEVENNAISE,311732275,22
MARTIN ENVIRONNEMENT,311765796,21
SOCIETE MAYENNAISE D'ELECTRICITE ET DE CHAUFFAGE,311768162,21
EXTINCTEURS NANTAIS,311770945,21
MAISON DE SANTE DE BELLEVUE,311770978,21
ETABLISSEMENTS POCHON,311771158,21
AGENCE DE BOUARD-LA MAISON DES VOYAGES,311771810,22
ENTR GENER ELECTRIFIC RATIONELLE,311772925,21
ADINE SA,311795249,21
SCHENKER FRANCE,311799456,52
SOCIETE MAUBEUGEOISE DE PHOTOCOMPOSITION,311801831,21
BENE INOX,311810287,21
VALOR CONSULTANTS,311810816,32
STE NANTAISE FOURNITURES INDUSTRIELLES,311820583,21
SAINT JEAN,311821268,32
STE D'APPLICATION DES SILICONES ALIMENTAIRES,311831457,22
RAMBACH,311834105,21
MAQUET SAS,311844229,22
TELELEC RESEAUX,311853857,21
KALHYGE 3,311865547,31
SOCIETE ROVAL,311866206,32
COUPE FILS,311866834,22
AUTOCARS STRIEBIG,311867519,31
SOC EXPLOI ETS ELLUL ALAIN CIE,311877534,22
DARLAVOIX,311878276,21
TIGNOL BETON,311879217,21
IDI COMPOSITES INTERNATIONAL (EUROPE),311889117,22
BEAUTY SUCCESS,311889877,42
COMPAGNIE REUNIONNAISE DES JEUX,311890768,21
ARBAN SARL,311901318,32
BBM ET ASSOCIES,311903496,22
TEOPLUS,311915920,21
PARTENAIRE BUREAUTIQUE,311916639,21
DEFTA AIRAX,311933568,22
SANAC,311934657,21
ETABLISSEMENTS FOURMENT,311946404,21
INTERPARKING SERVICES,311962427,22
EIFFAGE CONSTRUCTION LORRAINE,311962443,32
SOC GARDEENNE D ECONOMIE MIXTE,311963029,21
A. LUCIANI,311975163,21
AUTOMOBILES BRUNO CRETON ABC,311975478,21
GERESO,311975577,21
BIZOUARD ET ASSOCIES,311976971,21
ETHYPHARM,311999833,41
BBL GALAX,312010820,21
LES TROIS TOURS,312031743,22
COURANTS ELECT FORTS ET FAIBLE,312031925,22
SAPAC,312032956,21
MALTHA GLASS RECYCLING FRANCE,312045248,21
GENIA,312055403,21
BASF COATINGS SERVICES SAS,312066731,21
ALENCON DISTRIBUTION,312068307,32
SOCIETE DES CARS SIMPLON,312083157,22
AMBULANCES UNION,312086291,21
ATELIER TRAVAUX ELECTROMECANIQUES MIDI,312086697,21
LOOMIS TRAITEMENT DE VALEURS AZUR,312086739,21
CEVENOLE DE PROTECTION,312087349,21
ARDO,312097934,32
MAROQUINERIE THIERRY,312108368,22
ETABLISSEMENTS LE TINIER MORIN LTM 35,312109374,22
TRIEUX FRERES ET FILS,312110455,21
ELECTRO MENAGER MOMMENHEIM,312123805,21
SOCIETE DE DIFFUSION AUTOMOBILE D'ORSAY,312125222,21
EIFFAGE ENERGIE SYSTEMES - RESEAUX & SOLUTIONS,312126360,21
SA MANZINI,312127442,21
DE DIETRICH PROCESS SYSTEMS SEMUR,312127483,21
ACIERIES ET LAMINOIRS DE RIVES,312138696,31
SOCIETE DE CONSTRUCTION ET DE REPARATION DE MATERIEL AERONAUTIQUE CRMA,312139215,32
DEMOLIN NORMANDIE,312140528,22
BERGERE DE FRANCE,312141344,22
ARPEGE,312147770,42
CHABAS,312153810,22
HOSTELLERIE DE LA CHENEAUDIERE,312162779,21
SOC CIVILE DU CHATEAU RAYNE VIGNEAU,312169964,21
ENTREPRISE 26,312170061,21
CLINIQUE VILLA DES ROSES,312193519,21
VITROLAV,312194921,21
ETABLISSEMENTS ROUCHY,312195993,22
AIX AUTOMOBILES,312196777,22
RENAULT RETAIL GROUP,312212301,52
BANQUE MICHEL INCHAUSPE,312214315,22
SA FICEP,312214695,21
LES FROMAGERS DE TRADITION,312237035,21
SOCIETE DES TRANSPORTS CHALOSSAIS,312238611,21
CIS BIO INTERNATIONAL,312261894,32
RIBOT(ETABLISSEMENTS...),312263692,21
LECLERC APPROVIONNEMENT SUD,312263742,32
CENTRE D'EDUCATION & SECURITE ROUTIERE,312272818,21
OMNIUM DE RAMASSAGE ET D ELIMINATION DES DECHETS URBAINS,312273667,21
LINDAB FRANCE,312285133,22
AZUR FRAGRANCES FRANCE,312300759,21
SHARK,312311228,21
ORGANISATION VOYAGES PLANCHE,312326275,32
OUEST HARMONIE,312326978,41
LABORATOIRES COLOPLAST,312328362,32
SOMEPOSE,312330590,21
LOCATION MINGAT,312346000,21
TRANSFIX,312346810,32
JACKY DUFEU,312347156,21
BUNSHA,312347362,41
BUCHER MUNICIPAL,312378870,22
SAINT-GOBAIN ISOVER,312379076,41
ECOLE DE CONDUITE FRANCAISE COOPERATIVE D'EDUCATION ROUTIERE CENTRE ATLANTIQUE- E.C.F. CERCA,312379266,32
MAURICE CHARRAIRE,312380793,22
INTERNATIONAL GARAGE,312381486,22
DUNOIS DISTRIBUTION,312397029,32
SOCIETE DE GESTION DE PORTEFEUILLE FINANCIERE ET IMMOBILIERE DU MARAIS VENDEEN,312398019,21
"CHARLES-HENRI GASCHIGNARD - PIERRE MENANTEAU - DELPHINE VOELKER, NOTAIRES ASSOCIES",312398050,21
LES CARS ROSE,312408537,21
SOCIETE D'EXPLOITATION DE L'HEBDOMADAIRE LE POINT,312408784,32
EST-IMPRIMERIE,312411374,21
CHEVAL SAS,312411432,21
CABINET D'ETUDES RENE GAXIEU,312411648,21
SAIREM SOCIETE POUR L APPLICATION INDUSTRIELLE DE LA RECHERCHE EN ELECTRONIQUE ET MICRO ONDES,312424161,21
CHARVET INDUSTRIES,312424187,21
MANUFACTURE TRANSFORMATION TEXTILE,312450497,21
SUTUREX ET RENODEX,312453202,22
LEDUC SAS,312454515,21
ISSOIRE AVIATION,312455298,22
CENTRE DE DEPOLLUTION INDUS LORRAIN,312456114,21
SUCHIER SAS,312467681,21
LOSTIC MOOR DISTRIBUTION,312467863,21
GODARD-CHAMBON ET MARREL,312468861,21
ALSACIENNE DE RESTAURATION,312478266,41
AGENCE STRASBOURG IMMOBILIERE,312478274,21
INDEX FRANCE SARL,312478670,21
STANDARD INDUSTRIE INTERNATIONAL,312479769,21
MP SA,312521610,31
GAMM,312521990,21
AMI FONDERIE,312536287,21
SOREFICO COIFFURE EXPANSION,312549587,32
MARITIMA,312560923,21
MAERSK FRANCE,312561665,22
SAS SODISRO,312562515,32
SAUNIER DUVAL EAU CHAUDE CHAUFFAGE,312574346,22
RAPIDHOME,312576846,21
RUNIPSYS EUROPE,312609068,21
MICROSTEEL-CIMD,312610629,21
CONVIVIO-PRO,312611486,22
DURANCE GRANULATS,312613060,21
JEAN ROUTHIAU,312613920,31
ENTRETIEN DIJONNAIS,312616659,32
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE LA REUNION,312617046,41
ENTREPRISE COMMERCIALE REUNIONNAISE,312617053,21
JOLIVAL,312645849,22
CADERAS MARTIN SA,312665318,21
SOCIETE METROPOLITAINE DE PUBLICITE ET D AFFICHAGE,312665581,21
CENTRE EDUCA SECU ROUTIERE 38,312667090,21
KAEFER WANNER,312668601,42
AUCHAN RETAIL AGRO,312668692,22
SORMAF,312670730,21
CARS FERRY,312671175,21
ENTREPRISE E. CAGNA,312680416,21
CAISSE REGIONALE DU CREDIT MUTUEL MIDI ATLANTIQUE,312682099,41
CAISSE REGIONALE DU CREDIT MUTUEL MEDITERRANEEN,312682156,41
FISKARS FRANCE SAS,312694391,22
FAURE AUTOMATISME,312706757,22
CHAUSSURES HERVE,312707839,31
ALLGAIER FRANCE,312708415,22
BAMESA FRANCE,312730906,21
AQUAGED,312731060,21
SARL FAURA,312731573,21
